Auction Title ,Auction Id,Department ,Close Date ,Winning Bid ,CC Fee,Fee Percent,Auction Fee Subtotal,Auction Fee Total,Pay Status ,Paid Date ,Asset #,Inventory ID,Decal /Vehicle ID,VTR Number,Receipt Number ,Cap,Expenses,Net Sales,Fund,Business Unit
Warmer,80205,NASHVILLE CONVENTION CTR,1/23/2014,$306.00 ,$0.00 ,0.23,$70.38 ,$70.38 ,Successful,1/23/2014,,NCC-75598,,,Cashiers Check,"$3,000 ",$0.00 ,$235.62 ,Enterprise,0
Warmer,80206,NASHVILLE CONVENTION CTR,1/23/2014,$326.00 ,$0.00 ,0.23,$74.98 ,$74.98 ,Successful,1/23/2014,,NCC-75597,,,Cashiers Check,"$3,000 ",$0.00 ,$251.02 ,Enterprise,0
Large Wooden Picture Frame,80207,NASHVILLE CONVENTION CTR,1/23/2014,$4.50 ,$0.10 ,0.23,$1.03 ,$1.03 ,Successful,1/30/2014,,NCC-75480,,,3605135530,"$3,000 ",$0.00 ,$3.46 ,Enterprise,0
Dell Laptop w/Bag,80208,ITS,1/23/2014,$68.01 ,$1.56 ,0.23,$15.64 ,$15.64 ,Successful,1/30/2014,,74577,,,3605130826,"$3,000 ",$0.00 ,$52.36 ,General Fund,0
Dell Laptop w/Bag,80209,ITS,1/23/2014,$50.01 ,$1.15 ,0.23,$11.50 ,$11.50 ,Successful,1/23/2014,,74580,,,3604672974,"$3,000 ",$0.00 ,$38.50 ,General Fund,0
Dell Laptop w/Bag,80210,ITS,1/23/2014,$52.00 ,$1.20 ,0.23,$11.96 ,$11.96 ,Successful,1/23/2014,,74581,,,3604662600,"$3,000 ",$0.00 ,$40.04 ,General Fund,0
Dell Laptop w/Bag,80211,ITS,1/23/2014,$150.00 ,$0.00 ,0.23,$34.50 ,$34.50 ,Successful,1/27/2014,,75424,,,Money Order,"$3,000 ",$0.00 ,$115.50 ,General Fund,0
Dell Laptop w/Bag,80212,ITS,1/23/2014,$155.00 ,$0.00 ,0.23,$35.65 ,$35.65 ,Successful,1/27/2014,,75431,,,Money Order,"$3,000 ",$0.00 ,$119.35 ,General Fund,0
Dell Laptop w/Bag,80213,ITS,1/23/2014,$155.00 ,$0.00 ,0.23,$35.65 ,$35.65 ,Successful,1/27/2014,,75422,,,Money Order,"$3,000 ",$0.00 ,$119.35 ,General Fund,0
Dell Laptop w/Bag,80214,ITS,1/23/2014,$135.00 ,$3.10 ,0.23,$31.05 ,$31.05 ,Successful,1/23/2014,,74596,,,3604669080,"$3,000 ",$0.00 ,$103.95 ,General Fund,0
Dell Laptop w/Bag,80215,ITS,1/23/2014,$98.00 ,$2.25 ,0.23,$22.54 ,$22.54 ,Successful,1/30/2014,,74589,,,3605130836,"$3,000 ",$0.00 ,$75.46 ,General Fund,0
Dell Laptop w/Bag,80216,ITS,1/23/2014,$71.00 ,$1.63 ,0.23,$16.33 ,$16.33 ,Successful,1/30/2014,,74594,,,3605130849,"$3,000 ",$0.00 ,$54.67 ,General Fund,0
1975 Chevrolet Caprice Convertible,80217,DRUG TASK FORCE,1/23/2014,"$10,900.00 ",$250.70 ,0.23,"$2,507.00 ","$2,507.00 ",Successful,1/28/2014,,TF-311-065,,,3604990440,"$3,000 ",$0.00 ,"$8,393.00 ",Enterprise,0
Dell Laptop w/Bag,80219,ITS,1/23/2014,$50.00 ,$0.00 ,0.23,$11.50 ,$11.50 ,Successful,1/27/2014,,74560,,,Money Order,"$3,000 ",$0.00 ,$38.50 ,General Fund,0
2008 Chevrolet Impala,80220,OFM-POLICE,1/23/2014,$995.02 ,$0.00 ,0.23,$228.85 ,$228.85 ,Successful,1/23/2014,80008583,,1696 JH,,Cashiers Check,"$3,000 ",$0.00 ,$766.16 ,Enterprise,0
Weed Eater,80221,HEALTH,1/23/2014,$43.00 ,$0.99 ,0.23,$9.89 ,$9.89 ,Successful,1/23/2014,,76056,,,3604669962,"$3,000 ",$0.00 ,$33.11 ,General Fund,0
2005 Chevrolet Impala,80222,OFM-POLICE,1/23/2014,$650.00 ,$0.00 ,0.23,$149.50 ,$149.50 ,Successful,1/30/2014,80003452,,P 7493 AM,,Money Order,"$3,000 ",$0.00 ,$500.50 ,Enterprise,0
2009 Chevrolet Impala,80223,OFM-POLICE,1/23/2014,$765.00 ,$17.60 ,0.23,$175.95 ,$175.95 ,Successful,1/23/2014,80014043,,1998 JI,,3604657711,"$3,000 ",$0.00 ,$589.05 ,Enterprise,0
Pro Force Blower,80224,HEALTH,1/23/2014,$42.00 ,$0.97 ,0.23,$9.66 ,$9.66 ,Successful,1/23/2014,,76059,,,3604669983,"$3,000 ",$0.00 ,$32.34 ,General Fund,0
2000 John Deere Turf Tractor,80225,OFM-PARKS,1/23/2014,"$4,875.00 ",$0.00 ,0.23,"$1,121.25 ","$1,121.25 ",Successful,1/27/2014,219435,,29 5028,,Cashiers Check,"$3,000 ",$0.00 ,"$3,753.75 ",Enterprise,0
Stihl Hedge Trimmer,80226,HEALTH,1/23/2014,$78.25 ,$1.80 ,0.23,$17.99 ,$17.99 ,Successful,1/27/2014,,76058,,,3604906933,"$3,000 ",$0.00 ,$60.25 ,General Fund,0
Floor Jack,80227,HEALTH,1/23/2014,$60.01 ,$1.38 ,0.23,$13.80 ,$13.80 ,Successful,1/23/2014,,76057,,,3604669996,"$3,000 ",$0.00 ,$46.20 ,General Fund,0
2003 Bobcat Zero Turn Mower,80229,OFM-SHERIFF,1/23/2014,"$1,975.00 ",$0.00 ,0.23,$454.25 ,$454.25 ,Successful,1/30/2014,80000814,,34093,,Cashiers Check,"$3,000 ",$0.00 ,"$1,520.75 ",Enterprise,0
